time_seconds,MLII
0.725000,-0.305000
0.727778,-0.310000
0.730556,-0.325000
0.733333,-0.310000
0.736111,-0.300000
0.738889,-0.290000
0.741667,-0.310000
0.744444,-0.325000
0.747222,-0.330000
0.750000,-0.315000
0.752778,-0.300000
0.755556,-0.305000
0.758333,-0.310000
0.761111,-0.320000
0.763889,-0.330000
0.766667,-0.325000
0.769444,-0.315000
0.772222,-0.310000
0.775000,-0.305000
0.777778,-0.305000
0.780556,-0.310000
0.783333,-0.300000
0.786111,-0.305000
0.788889,-0.290000
0.791667,-0.300000
0.794444,-0.300000
0.797222,-0.305000
0.800000,-0.305000
0.802778,-0.290000
0.805556,-0.280000
0.808333,-0.295000
0.811111,-0.305000
0.813889,-0.315000
0.816667,-0.305000
0.819444,-0.295000
0.822222,-0.290000
0.825000,-0.280000
0.827778,-0.270000
0.830556,-0.275000
0.833333,-0.275000
0.836111,-0.270000
0.838889,-0.250000
0.841667,-0.250000
0.844444,-0.255000
0.847222,-0.225000
0.850000,-0.220000
0.852778,-0.205000
0.855556,-0.200000
0.858333,-0.205000
0.861111,-0.215000
0.863889,-0.230000
0.866667,-0.220000
0.869444,-0.225000
0.872222,-0.225000
0.875000,-0.225000
0.877778,-0.230000
0.880556,-0.235000
0.883333,-0.240000
0.886111,-0.235000
0.888889,-0.220000
0.891667,-0.210000
0.894444,-0.205000
0.897222,-0.245000
0.900000,-0.285000
0.902778,-0.285000
0.905556,-0.300000
0.908333,-0.310000
0.911111,-0.330000
0.913889,-0.330000
0.916667,-0.325000
0.919444,-0.315000
0.922222,-0.320000
0.925000,-0.315000
0.927778,-0.325000
0.930556,-0.340000
0.933333,-0.345000
0.936111,-0.340000
0.938889,-0.340000
0.941667,-0.350000
0.944444,-0.345000
0.947222,-0.355000
0.950000,-0.330000
0.952778,-0.335000
0.955556,-0.330000
0.958333,-0.320000
0.961111,-0.345000
0.963889,-0.355000
0.966667,-0.340000
0.969444,-0.330000
0.972222,-0.325000
0.975000,-0.330000
0.977778,-0.350000
0.980556,-0.365000
0.983333,-0.360000
0.986111,-0.380000
0.988889,-0.425000
0.991667,-0.445000
0.994444,-0.475000
0.997222,-0.510000
1.000000,-0.535000
1.002778,-0.505000
1.005556,-0.415000
1.008333,-0.300000
1.011111,-0.160000
1.013889,-0.015000
1.016667,0.235000
1.019444,0.490000
1.022222,0.720000
1.025000,0.875000
1.027778,0.940000
1.030556,0.905000
1.033333,0.755000
1.036111,0.490000
1.038889,0.165000
1.041667,-0.110000
1.044444,-0.270000
1.047222,-0.390000
1.050000,-0.450000
1.052778,-0.475000
1.055556,-0.455000
1.058333,-0.425000
1.061111,-0.390000
1.063889,-0.390000
1.066667,-0.385000
1.069444,-0.390000
1.072222,-0.380000
1.075000,-0.380000
1.077778,-0.380000
1.080556,-0.395000
1.083333,-0.385000
1.086111,-0.385000
1.088889,-0.385000
1.091667,-0.375000
1.094444,-0.395000
1.097222,-0.410000
1.100000,-0.410000
1.102778,-0.400000
1.105556,-0.395000
1.108333,-0.390000
1.111111,-0.405000
1.113889,-0.395000
1.116667,-0.385000
1.119444,-0.375000
1.122222,-0.390000
1.125000,-0.390000
1.127778,-0.405000
1.130556,-0.410000
1.133333,-0.410000
1.136111,-0.390000
1.138889,-0.390000
1.141667,-0.395000
1.144444,-0.405000
1.147222,-0.415000
1.150000,-0.400000
1.152778,-0.410000
1.155556,-0.405000
1.158333,-0.410000
1.161111,-0.415000
1.163889,-0.410000
1.166667,-0.400000
1.169444,-0.400000
1.172222,-0.395000
1.175000,-0.390000
1.177778,-0.405000
1.180556,-0.410000
1.183333,-0.390000
1.186111,-0.390000
1.188889,-0.385000
1.191667,-0.385000
1.194444,-0.410000
1.197222,-0.405000
1.200000,-0.395000
1.202778,-0.390000
1.205556,-0.375000
1.208333,-0.390000
1.211111,-0.395000
1.213889,-0.410000
1.216667,-0.400000
1.219444,-0.390000
1.222222,-0.390000
1.225000,-0.385000
1.227778,-0.405000
1.230556,-0.415000
1.233333,-0.415000
1.236111,-0.400000
1.238889,-0.395000
1.241667,-0.405000
1.244444,-0.415000
1.247222,-0.420000
1.250000,-0.420000
1.252778,-0.410000
1.255556,-0.415000
1.258333,-0.425000
1.261111,-0.420000
1.263889,-0.435000
1.266667,-0.430000
1.269444,-0.430000
1.272222,-0.420000
1.275000,-0.430000
1.277778,-0.450000
1.280556,-0.455000
1.283333,-0.450000
1.286111,-0.435000
1.288889,-0.445000
1.291667,-0.450000
1.294444,-0.455000
1.297222,-0.470000
1.300000,-0.460000
1.302778,-0.455000
1.305556,-0.450000
1.308333,-0.455000
1.311111,-0.470000
1.313889,-0.475000
1.316667,-0.460000
1.319444,-0.450000
1.322222,-0.445000
1.325000,-0.440000
1.327778,-0.435000
1.330556,-0.440000
1.333333,-0.410000
1.336111,-0.395000
1.338889,-0.370000
1.341667,-0.365000
1.344444,-0.360000
1.347222,-0.365000
1.350000,-0.340000
1.352778,-0.325000
1.355556,-0.315000
1.358333,-0.320000
1.361111,-0.330000
1.363889,-0.330000
1.366667,-0.320000
1.369444,-0.310000
1.372222,-0.300000
1.375000,-0.300000
1.377778,-0.320000
1.380556,-0.320000
1.383333,-0.315000
1.386111,-0.305000
1.388889,-0.305000
1.391667,-0.295000
1.394444,-0.320000
1.397222,-0.330000
1.400000,-0.305000
1.402778,-0.310000
1.405556,-0.300000
1.408333,-0.300000
1.411111,-0.320000
1.413889,-0.325000
1.416667,-0.310000
1.419444,-0.305000
1.422222,-0.315000
1.425000,-0.305000
1.427778,-0.315000
1.430556,-0.315000
1.433333,-0.310000
1.436111,-0.295000
1.438889,-0.290000
1.441667,-0.305000
1.444444,-0.310000
1.447222,-0.320000
1.450000,-0.315000
1.452778,-0.300000
1.455556,-0.315000
1.458333,-0.315000
1.461111,-0.315000
1.463889,-0.330000
1.466667,-0.315000
1.469444,-0.320000
1.472222,-0.315000
1.475000,-0.325000
1.477778,-0.335000
1.480556,-0.340000
1.483333,-0.335000
1.486111,-0.335000
1.488889,-0.330000
1.491667,-0.325000
1.494444,-0.345000
1.497222,-0.350000
1.500000,-0.345000
1.502778,-0.335000
1.505556,-0.330000
1.508333,-0.330000
1.511111,-0.345000
1.513889,-0.345000
1.516667,-0.345000
1.519444,-0.320000
1.522222,-0.330000
1.525000,-0.335000
1.527778,-0.340000
1.530556,-0.355000
1.533333,-0.335000
1.536111,-0.330000
1.538889,-0.330000
1.541667,-0.335000
1.544444,-0.355000
1.547222,-0.360000
1.550000,-0.355000
1.552778,-0.350000
1.555556,-0.340000
1.558333,-0.345000
1.561111,-0.345000
1.563889,-0.345000
1.566667,-0.345000
1.569444,-0.330000
1.572222,-0.330000
1.575000,-0.335000
1.577778,-0.345000
1.580556,-0.350000
1.583333,-0.350000
1.586111,-0.340000
1.588889,-0.330000
1.591667,-0.345000
1.594444,-0.345000
1.597222,-0.355000
1.600000,-0.350000
1.602778,-0.340000
1.605556,-0.330000
1.608333,-0.340000
1.611111,-0.340000
1.613889,-0.340000
1.616667,-0.330000
1.619444,-0.335000
1.622222,-0.330000
1.625000,-0.335000
1.627778,-0.345000
1.630556,-0.345000
1.633333,-0.340000
1.636111,-0.330000
1.638889,-0.315000
1.641667,-0.295000
1.644444,-0.300000
1.647222,-0.295000
1.650000,-0.285000
1.652778,-0.275000
1.655556,-0.265000
1.658333,-0.265000
1.661111,-0.265000
1.663889,-0.255000
1.666667,-0.250000
1.669444,-0.240000
1.672222,-0.225000
1.675000,-0.215000
1.677778,-0.240000
1.680556,-0.245000
1.683333,-0.240000
1.686111,-0.245000
1.688889,-0.235000
1.691667,-0.245000
1.694444,-0.250000
1.697222,-0.275000
1.700000,-0.275000
1.702778,-0.265000
1.705556,-0.250000
1.708333,-0.225000
1.711111,-0.220000
1.713889,-0.230000
1.716667,-0.265000
1.719444,-0.270000
1.722222,-0.280000
1.725000,-0.285000
1.727778,-0.305000
1.730556,-0.320000
1.733333,-0.340000
1.736111,-0.330000
1.738889,-0.335000
1.741667,-0.335000
1.744444,-0.355000
1.747222,-0.370000
1.750000,-0.360000
1.752778,-0.345000
1.755556,-0.350000
1.758333,-0.355000
1.761111,-0.365000
1.763889,-0.375000
1.766667,-0.380000
1.769444,-0.370000
1.772222,-0.365000
1.775000,-0.365000
1.777778,-0.380000
1.780556,-0.385000
1.783333,-0.380000
1.786111,-0.375000
1.788889,-0.355000
1.791667,-0.370000
1.794444,-0.390000
1.797222,-0.405000
1.800000,-0.410000
1.802778,-0.435000
1.805556,-0.465000
1.808333,-0.490000
1.811111,-0.520000
1.813889,-0.555000
1.816667,-0.570000
1.819444,-0.525000
1.822222,-0.405000
1.825000,-0.250000
1.827778,-0.090000
1.830556,0.120000
1.833333,0.410000
1.836111,0.690000
1.838889,0.885000
1.841667,0.960000
1.844444,0.850000
1.847222,0.520000
1.850000,0.050000
1.852778,-0.320000
1.855556,-0.500000
1.858333,-0.505000
1.861111,-0.445000
1.863889,-0.415000
1.866667,-0.395000
1.869444,-0.390000
1.872222,-0.395000
1.875000,-0.390000
1.877778,-0.395000
1.880556,-0.405000
1.883333,-0.395000
1.886111,-0.405000
1.888889,-0.390000
1.891667,-0.395000
1.894444,-0.395000
1.897222,-0.410000
1.900000,-0.405000
1.902778,-0.400000
1.905556,-0.400000
1.908333,-0.415000
1.911111,-0.405000
1.913889,-0.420000
1.916667,-0.415000
1.919444,-0.405000
1.922222,-0.405000
1.925000,-0.420000
1.927778,-0.420000
1.930556,-0.435000
1.933333,-0.420000
1.936111,-0.410000
1.938889,-0.410000
1.941667,-0.405000
1.944444,-0.425000
1.947222,-0.430000
1.950000,-0.420000
1.952778,-0.415000
1.955556,-0.410000
1.958333,-0.410000
1.961111,-0.425000
1.963889,-0.420000
1.966667,-0.400000
1.969444,-0.395000
1.972222,-0.400000
1.975000,-0.400000
1.977778,-0.395000
1.980556,-0.415000
1.983333,-0.405000
1.986111,-0.390000
1.988889,-0.400000
1.991667,-0.400000
1.994444,-0.415000
1.997222,-0.425000
2.000000,-0.425000
2.002778,-0.415000
2.005556,-0.415000
2.008333,-0.410000
2.011111,-0.425000
2.013889,-0.425000
2.016667,-0.420000
2.019444,-0.415000
2.022222,-0.400000
2.025000,-0.400000
2.027778,-0.410000
2.030556,-0.425000
2.033333,-0.410000
2.036111,-0.405000
2.038889,-0.395000
2.041667,-0.400000
2.044444,-0.400000
2.047222,-0.405000
2.050000,-0.385000
2.052778,-0.400000
2.055556,-0.390000
2.058333,-0.390000
2.061111,-0.400000
2.063889,-0.415000
2.066667,-0.405000
2.069444,-0.405000
2.072222,-0.410000
2.075000,-0.415000
2.077778,-0.420000
2.080556,-0.420000
2.083333,-0.425000
2.086111,-0.415000
2.088889,-0.415000
2.091667,-0.410000
2.094444,-0.435000
2.097222,-0.430000
2.100000,-0.435000
2.102778,-0.420000
2.105556,-0.420000
2.108333,-0.420000
2.111111,-0.420000
2.113889,-0.425000
2.116667,-0.425000
2.119444,-0.415000
2.122222,-0.395000
2.125000,-0.395000
2.127778,-0.390000
2.130556,-0.375000
2.133333,-0.360000
2.136111,-0.340000
2.138889,-0.335000
2.141667,-0.330000
2.144444,-0.335000
2.147222,-0.335000
2.150000,-0.325000
2.152778,-0.320000
2.155556,-0.305000
2.158333,-0.305000
2.161111,-0.315000
2.163889,-0.310000
2.166667,-0.305000
2.169444,-0.300000
2.172222,-0.300000
2.175000,-0.300000
2.177778,-0.310000
2.180556,-0.310000
2.183333,-0.310000
2.186111,-0.315000
2.188889,-0.300000
2.191667,-0.305000
2.194444,-0.315000
2.197222,-0.320000
2.200000,-0.325000
2.202778,-0.310000
2.205556,-0.305000
2.208333,-0.305000
2.211111,-0.320000
2.213889,-0.325000
2.216667,-0.305000
2.219444,-0.310000
2.222222,-0.295000
2.225000,-0.310000
2.227778,-0.325000
2.230556,-0.330000
2.233333,-0.320000
2.236111,-0.320000
2.238889,-0.320000
2.241667,-0.325000
2.244444,-0.350000
2.247222,-0.350000
2.250000,-0.340000
2.252778,-0.335000
2.255556,-0.330000
2.258333,-0.335000
2.261111,-0.340000
2.263889,-0.360000
2.266667,-0.350000
2.269444,-0.350000
2.272222,-0.355000
2.275000,-0.360000
2.277778,-0.355000
2.280556,-0.365000
2.283333,-0.355000
2.286111,-0.350000
2.288889,-0.340000
2.291667,-0.355000
2.294444,-0.350000
2.297222,-0.365000
2.300000,-0.365000
2.302778,-0.350000
2.305556,-0.355000
2.308333,-0.350000
2.311111,-0.370000
2.313889,-0.380000
2.316667,-0.370000
2.319444,-0.360000
2.322222,-0.365000
2.325000,-0.360000
2.327778,-0.365000
2.330556,-0.380000
2.333333,-0.370000
2.336111,-0.365000
2.338889,-0.350000
2.341667,-0.350000
2.344444,-0.350000
2.347222,-0.370000
2.350000,-0.365000
2.352778,-0.345000
2.355556,-0.345000
2.358333,-0.340000
2.361111,-0.355000
2.363889,-0.365000
2.366667,-0.360000
2.369444,-0.355000
2.372222,-0.355000
2.375000,-0.355000
2.377778,-0.375000
2.380556,-0.385000
2.383333,-0.355000
2.386111,-0.360000
2.388889,-0.355000
2.391667,-0.360000
2.394444,-0.360000
2.397222,-0.370000
2.400000,-0.360000
2.402778,-0.345000
2.405556,-0.355000
2.408333,-0.345000
2.411111,-0.345000
2.413889,-0.345000
2.416667,-0.340000
2.419444,-0.310000
2.422222,-0.305000
2.425000,-0.305000
2.427778,-0.310000
2.430556,-0.305000
2.433333,-0.290000
2.436111,-0.285000
2.438889,-0.275000
2.441667,-0.280000
2.444444,-0.280000
2.447222,-0.275000
2.450000,-0.265000
2.452778,-0.255000
2.455556,-0.245000
2.458333,-0.260000
2.461111,-0.265000
2.463889,-0.275000
2.466667,-0.280000
2.469444,-0.265000
2.472222,-0.270000
2.475000,-0.275000
2.477778,-0.280000
2.480556,-0.275000
2.483333,-0.280000
2.486111,-0.275000
2.488889,-0.265000
2.491667,-0.255000
2.494444,-0.240000
2.497222,-0.260000
2.500000,-0.280000
2.502778,-0.310000
2.505556,-0.310000
2.508333,-0.345000
2.511111,-0.360000
2.513889,-0.380000
2.516667,-0.385000
2.519444,-0.380000
2.522222,-0.370000
2.525000,-0.375000
2.527778,-0.385000
2.530556,-0.390000
2.533333,-0.395000
2.536111,-0.385000
2.538889,-0.385000
2.541667,-0.385000
2.544444,-0.395000
2.547222,-0.405000
2.550000,-0.400000
2.552778,-0.375000
2.555556,-0.375000
2.558333,-0.390000
2.561111,-0.395000
2.563889,-0.415000
2.566667,-0.405000
2.569444,-0.400000
2.572222,-0.390000
2.575000,-0.405000
2.577778,-0.425000
2.580556,-0.460000
2.583333,-0.475000
2.586111,-0.505000
2.588889,-0.510000
2.591667,-0.525000
2.594444,-0.540000
2.597222,-0.600000
2.600000,-0.645000
2.602778,-0.630000
2.605556,-0.575000
2.608333,-0.495000
2.611111,-0.385000
2.613889,-0.270000
2.616667,-0.115000
2.619444,0.090000
2.622222,0.370000
2.625000,0.635000
2.627778,0.810000
2.630556,0.860000
2.633333,0.770000
2.636111,0.475000
2.638889,0.065000
2.641667,-0.305000
2.644444,-0.500000
2.647222,-0.520000
2.650000,-0.475000
2.652778,-0.410000
2.655556,-0.390000
2.658333,-0.390000
2.661111,-0.400000
2.663889,-0.410000
2.666667,-0.405000
2.669444,-0.385000
2.672222,-0.390000
2.675000,-0.395000
2.677778,-0.405000
2.680556,-0.410000
2.683333,-0.405000
2.686111,-0.400000
2.688889,-0.390000
2.691667,-0.395000
2.694444,-0.410000
2.697222,-0.415000
2.700000,-0.410000
2.702778,-0.395000
2.705556,-0.405000
2.708333,-0.410000
2.711111,-0.405000
2.713889,-0.405000
2.716667,-0.410000
2.719444,-0.390000
2.722222,-0.385000
2.725000,-0.390000
2.727778,-0.395000
2.730556,-0.400000
2.733333,-0.400000
2.736111,-0.400000
2.738889,-0.395000
2.741667,-0.395000
2.744444,-0.405000
2.747222,-0.405000
2.750000,-0.400000
2.752778,-0.395000
2.755556,-0.385000
2.758333,-0.375000
2.761111,-0.385000
2.763889,-0.395000
2.766667,-0.390000
2.769444,-0.385000
2.772222,-0.375000
2.775000,-0.385000
2.777778,-0.395000
2.780556,-0.395000
2.783333,-0.385000
2.786111,-0.375000
2.788889,-0.375000
2.791667,-0.385000
2.794444,-0.395000
2.797222,-0.390000
2.800000,-0.390000
2.802778,-0.365000
2.805556,-0.375000
2.808333,-0.385000
2.811111,-0.395000
2.813889,-0.380000
2.816667,-0.385000
2.819444,-0.375000
2.822222,-0.380000
2.825000,-0.390000
2.827778,-0.380000
2.830556,-0.375000
2.833333,-0.375000
2.836111,-0.375000
2.838889,-0.375000
2.841667,-0.380000
2.844444,-0.390000
2.847222,-0.390000
2.850000,-0.365000
2.852778,-0.370000
2.855556,-0.375000
2.858333,-0.385000
2.861111,-0.390000
2.863889,-0.390000
2.866667,-0.375000
2.869444,-0.365000
2.872222,-0.385000
2.875000,-0.380000
2.877778,-0.390000
2.880556,-0.375000
2.883333,-0.375000
2.886111,-0.365000
2.888889,-0.370000
2.891667,-0.385000
2.894444,-0.395000
2.897222,-0.385000
2.900000,-0.385000
2.902778,-0.370000
2.905556,-0.365000
2.908333,-0.370000
2.911111,-0.375000
2.913889,-0.350000
2.916667,-0.335000
2.919444,-0.320000
2.922222,-0.315000
2.925000,-0.320000
2.927778,-0.325000
2.930556,-0.315000
2.933333,-0.295000
2.936111,-0.285000
2.938889,-0.300000
2.941667,-0.295000
2.944444,-0.285000
2.947222,-0.285000
2.950000,-0.280000
2.952778,-0.270000
2.955556,-0.280000
2.958333,-0.290000
2.961111,-0.295000
2.963889,-0.295000
2.966667,-0.290000
2.969444,-0.280000
2.972222,-0.290000
2.975000,-0.295000
2.977778,-0.310000
2.980556,-0.295000
2.983333,-0.285000
2.986111,-0.280000
2.988889,-0.275000
2.991667,-0.295000
2.994444,-0.305000
2.997222,-0.300000
3.000000,-0.295000
3.002778,-0.295000
3.005556,-0.285000
3.008333,-0.300000
3.011111,-0.305000
3.013889,-0.300000
3.016667,-0.295000
3.019444,-0.300000
3.022222,-0.305000
3.025000,-0.315000
3.027778,-0.310000
3.030556,-0.315000
3.033333,-0.295000
3.036111,-0.300000
3.038889,-0.310000
3.041667,-0.330000
3.044444,-0.340000
3.047222,-0.330000
3.050000,-0.320000
3.052778,-0.320000
3.055556,-0.315000
3.058333,-0.325000
3.061111,-0.335000
3.063889,-0.330000
3.066667,-0.315000
3.069444,-0.320000
3.072222,-0.320000
3.075000,-0.330000
3.077778,-0.345000
3.080556,-0.340000
3.083333,-0.335000
3.086111,-0.330000
3.088889,-0.335000
3.091667,-0.345000
3.094444,-0.350000
3.097222,-0.345000
3.100000,-0.340000
3.102778,-0.335000
3.105556,-0.335000
3.108333,-0.330000
3.111111,-0.335000
3.113889,-0.340000
3.116667,-0.335000
3.119444,-0.320000
3.122222,-0.340000
3.125000,-0.340000
3.127778,-0.350000
3.130556,-0.365000
3.133333,-0.360000
3.136111,-0.345000
3.138889,-0.345000
3.141667,-0.350000
3.144444,-0.350000
3.147222,-0.350000
3.150000,-0.340000
3.152778,-0.340000
3.155556,-0.345000
3.158333,-0.345000
3.161111,-0.380000
3.163889,-0.360000
3.166667,-0.360000
3.169444,-0.345000
3.172222,-0.345000
3.175000,-0.350000
3.177778,-0.355000
3.180556,-0.345000
3.183333,-0.330000
3.186111,-0.330000
3.188889,-0.335000
3.191667,-0.335000
3.194444,-0.340000
3.197222,-0.330000
3.200000,-0.320000
3.202778,-0.290000
3.205556,-0.290000
3.208333,-0.300000
3.211111,-0.305000
3.213889,-0.285000
3.216667,-0.280000
3.219444,-0.275000
3.222222,-0.280000
3.225000,-0.275000
3.227778,-0.270000
3.230556,-0.265000
3.233333,-0.250000
3.236111,-0.230000
3.238889,-0.245000
3.241667,-0.240000
3.244444,-0.255000
3.247222,-0.255000
3.250000,-0.245000
3.252778,-0.235000
3.255556,-0.255000
3.258333,-0.265000
3.261111,-0.260000
3.263889,-0.255000
3.266667,-0.270000
3.269444,-0.265000
3.272222,-0.280000
3.275000,-0.255000
3.277778,-0.250000
3.280556,-0.245000
3.283333,-0.265000
3.286111,-0.280000
3.288889,-0.300000
3.291667,-0.315000
3.294444,-0.325000
3.297222,-0.335000
3.300000,-0.345000
3.302778,-0.330000
3.305556,-0.335000
3.308333,-0.345000
3.311111,-0.360000
3.313889,-0.350000
3.316667,-0.340000
3.319444,-0.335000
3.322222,-0.345000
3.325000,-0.360000
3.327778,-0.365000
3.330556,-0.375000
3.333333,-0.370000
3.336111,-0.365000
3.338889,-0.365000
3.341667,-0.380000
3.344444,-0.375000
3.347222,-0.375000
3.350000,-0.365000
3.352778,-0.370000
3.355556,-0.360000
3.358333,-0.370000
3.361111,-0.380000
3.363889,-0.365000
3.366667,-0.360000
3.369444,-0.350000
3.372222,-0.355000
3.375000,-0.370000
3.377778,-0.385000
3.380556,-0.395000
3.383333,-0.430000
3.386111,-0.445000
3.388889,-0.485000
3.391667,-0.515000
3.394444,-0.565000
3.397222,-0.555000
3.400000,-0.475000
3.402778,-0.355000
3.405556,-0.220000
3.408333,-0.055000
3.411111,0.185000
3.413889,0.475000
3.416667,0.705000
3.419444,0.820000
3.422222,0.780000
3.425000,0.535000
3.427778,0.145000
3.430556,-0.200000
3.433333,-0.420000
3.436111,-0.500000
3.438889,-0.480000
3.441667,-0.450000
3.444444,-0.410000
3.447222,-0.400000
3.450000,-0.390000
3.452778,-0.390000
3.455556,-0.400000
3.458333,-0.405000
3.461111,-0.425000
3.463889,-0.425000
3.466667,-0.405000
3.469444,-0.395000
3.472222,-0.405000
3.475000,-0.405000
3.477778,-0.415000
3.480556,-0.405000
3.483333,-0.385000
3.486111,-0.390000
3.488889,-0.395000
3.491667,-0.395000
3.494444,-0.395000
3.497222,-0.395000
3.500000,-0.385000
3.502778,-0.390000
3.505556,-0.390000
3.508333,-0.400000
3.511111,-0.425000
3.513889,-0.410000
3.516667,-0.400000
3.519444,-0.395000
3.522222,-0.400000
3.525000,-0.405000
3.527778,-0.425000
3.530556,-0.415000
3.533333,-0.405000
3.536111,-0.405000
